escalar,percentile_inf,percentile_sup,P,C,PC
2,1,1,71,48,24
3,1,1,72,49,25
3,1,1,73,50,26
3,1,1,74,,
3,1,1,75,,
3,1,1,76,,
3,1,1,77,,
4,2,2,78,51,27
4,2,2,79,52,28
4,2,2,80,53,29
4,2,2,81,54,
4,2,2,82,,
4,2,2,83,,
4,2,2,84,,
4,2,2,85,,
4,2,2,86,,
4,2,2,87,,
5,3,5,88,55,30
5,3,5,89,56,31
5,3,5,90,57,32
5,3,5,91,58,33
5,3,5,92,59,
5,3,5,93,60,
6,6,10,94,61,34
6,6,10,95,62,35
6,6,10,96,,36
6,6,10,97,,37
6,6,10,98,,38
7,11,18,99,63,39
7,11,18,100,64,40
7,11,18,101,65,
,11,18,,66,
8,19,28,102,67,41
8,19,28,103,68,42
8,19,28,104,69,43
8,19,28,,70,
9,29,40,105,71,44
9,29,40,106,72,45
9,29,40,107,73,
9,29,40,108,,
10,41,59,109,74,46
10,41,59,110,75,47
10,41,59,111,76,48
10,41,59,112,77,49
10,41,59,113,78,50
10,41,59,114,,
11,60,71,115,79,51
11,60,71,116,80,52
11,60,71,117,81,53
11,60,71,118,82,
11,60,71,,83,
12,72,81,119,84,54
12,72,81,120,85,55
12,72,81,121,86,56
12,72,81,122,,
13,82,89,123,87,57
13,82,89,124,88,58
13,82,89,125,89,59
13,82,89,126,90,
14,90,94,127,91,60
14,90,94,128,92,61
14,90,94,129,93,62
14,90,94,130,,
14,90,94,131,,
14,90,94,132,,
14,90,94,133,,
15,95,97,134,94,63
15,95,97,135,95,64
15,95,97,136,96,65
15,95,97,137,97,66
15,95,97,138,98,67
15,95,97,139,,68
15,95,97,140,,
15,95,97,141,,
16,98,98,142,99,69
16,98,98,143,100,70
16,98,98,144,101,71
17,99,99,145,102,72
17,99,99,146,103,73
17,99,99,147,,74
17,99,99,148,,75
17,99,99,149,,76
17,99,99,150,,77
17,99,99,151,,
17,99,99,152,,
17,99,99,153,,
18,99,99,154,104,78
