RangoPercentil,SOM,OBS,INT,DEP,ANS,HOS,FOB,PAR,PSI,GSI,PST,PSDI,T
99,3.58,4,3.56,3.54,4,3.83,3.86,3.67,3.6,3.48,89,4,75
97,3,3.69,3.5,3.46,3.65,3.17,3.49,3.25,3.15,3.1,86,3.78,70
95,2.83,3.28,3.33,3.38,3.46,3.13,2.86,2.97,3,2.92,85.4,3.45,67
90,2.55,2.86,2.96,2.92,2.82,2.43,2.43,2.67,2.4,2.34,77.2,3.14,63
85,2.12,2.5,2.6,2.62,2.3,2.07,2,2.33,2,2.18,73,2.93,60
80,1.92,2.4,2.24,2.46,2.1,1.83,1.46,2.17,1.9,1.98,71.2,2.75,58
75,1.75,2,2,2.31,1.9,1.67,---,2,1.6,1.73,66,2.63,57
70,1.58,1.7,1.73,2,1.8,1.5,1,1.8,1.4,1.46,59,2.54,55
65,1.5,1.56,1.44,1.89,1.6,1.33,0.86,1.5,1.2,1.4,56.6,2.44,54
60,1.42,---,1.22,1.77,1.5,1.07,---,1.23,1,1.31,50.8,2.34,53
55,1.27,1.4,1,1.69,1.32,0.83,0.71,1,0.8,1.19,47.4,2.19,51
50,1.17,1.2,0.89,1.54,1.2,0.67,---,0.83,0.7,1.14,46,2.09,50
45,1,1.1,0.78,1.38,1.08,0.63,---,---,0.58,1.01,43,2,49
40,0.97,1,0.67,1.23,0.9,0.5,0.43,0.67,0.5,0.97,42,1.92,47
35,0.83,0.8,0.67,1.03,0.8,0.33,0.29,---,0.4,0.88,39.8,1.78,46
30,0.75,0.62,0.56,0.78,0.6,---,---,0.5,---,0.61,37,1.71,45
25,0.58,0.5,0.44,0.69,0.5,---,0.14,0.33,0.2,0.51,30,1.57,43
20,0.5,0.38,0.33,0.6,0.4,0.17,---,0.3,---,0.48,27,1.51,42
15,0.38,0.3,0.22,0.46,0.3,---,---,---,0.1,0.43,25.6,1.45,40
10,0.17,0.2,0.11,0.38,0.24,---,---,0.17,0.04,0.37,19,1.35,37
5,0,0.1,0.02,0.25,0.2,0,0,0,0,0.29,16.2,1.24,34
