Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,30,0,20,0,5,,,,
3,1,1,31,42,21,23,5,5,,,,
4,2,2,43,45,24,26,6,9,,,,
5,3,5,46,57,27,38,10,13,,,,
6,6,10,58,65,39,40,14,17,,,,
7,11,18,66,71,41,45,18,21,,,,
8,19,28,72,77,46,49,22,24,,,,
9,29,40,78,82,50,53,25,26,,,,
10,41,59,83,91,54,59,27,30,,,,
11,60,71,92,98,60,62,31,35,,,,
12,72,81,99,108,63,67,36,39,,,,
13,82,89,109,115,68,73,40,43,,,,
14,90,94,116,120,74,76,44,47,,,,
15,95,97,121,124,77,79,48,50,,,,
16,98,98,125,130,80,82,51,51,,,,
17,99,99,130,130,83,84,52,54,,,,
18,99.01,100,131,1000,85,1000,55,1000,,,,
Sample size,0,0,119,119,119,119,1190,0,,,,
