Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,93,1000,415,1000,740,1000,784
3,1,1,0,0,92,83,414,308,739,680,783,730
4,2,2,0,0,82,80,307,223,679,622,729,695
5,3,5,0,0,79,64,222,127,621,483,694,563
6,6,10,0,0,63,57,126,109,482,431,562,529
7,11,18,1,1,56,49,108,84,430,369,528,445
8,19,28,2,2,48,42,83,66,368,331,444,378
9,29,40,2,2,41,36,65,54,330,277,377,331
10,41,59,3,3,35,27,53,41,276,234,330,286
11,60,71,4,4,26,22,40,35,233,199,285,256
12,72,81,5,5,21,18,34,31,198,174,255,213
13,82,89,5,5,17,14,30,26,173,154,212,202
14,90,94,6,6,13,11,25,20,153,144,201,190
15,95,97,6,6,10,9,19,15,143,128,189,172
16,98,98,7,7,8,6,14,14,127,127,171,154
17,99,99,7,7,5,5,13,12,126,125,153,147
18,99.01,100,8,10,4,0,11,0,124,0,146,0
Sample size,0,0,124,124,124,124,124,124,124,124,124,124
